,,,,,,,,https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1609804800,2021-01-05 00:00:00,BCH/USD,409.08,426.22,380.21,420.05,26211.10623880,11009975.17560794
1609718400,2021-01-04 00:00:00,BCH/USD,425.20,467.67,377.00,406.28,46766.39115151,19000249.39703548
1609632000,2021-01-03 00:00:00,BCH/USD,354.90,434.54,354.65,423.71,38135.76827363,16158506.375219766
1609545600,2021-01-02 00:00:00,BCH/USD,342.86,368.84,334.39,354.45,19324.14034050,6849441.543690224
1609459200,2021-01-01 00:00:00,BCH/USD,342.74,355.93,332.00,342.50,7945.89215400,2721468.0627450002
1609372800,2020-12-31 00:00:00,BCH/USD,358.68,361.16,334.32,342.28,15189.83290305,5199176.006055954
1609286400,2020-12-30 00:00:00,BCH/USD,353.00,366.34,342.12,359.31,17066.08344495,6132014.442604984
1609200000,2020-12-29 00:00:00,BCH/USD,360.35,365.56,330.26,351.85,19046.06317475,6701357.328035789
1609113600,2020-12-28 00:00:00,BCH/USD,335.60,376.67,333.83,360.45,22912.78245311,8258912.435223499
1609027200,2020-12-27 00:00:00,BCH/USD,323.00,366.38,307.08,337.37,39069.79940815,13180978.226327566
1608940800,2020-12-26 00:00:00,BCH/USD,319.16,332.00,308.09,323.06,17686.01639151,5713644.45544122
1608854400,2020-12-25 00:00:00,BCH/USD,297.55,325.00,293.33,318.62,26316.63571339,8385006.471000321
1608768000,2020-12-24 00:00:00,BCH/USD,274.27,299.17,270.63,296.99,17623.06844382,5233875.097130102
1608681600,2020-12-23 00:00:00,BCH/USD,323.34,326.37,266.55,275.48,39892.31352253,10989534.529186565
1608595200,2020-12-22 00:00:00,BCH/USD,314.92,324.73,298.61,323.80,14449.10559425,4678620.391418151
1608508800,2020-12-21 00:00:00,BCH/USD,346.83,380.00,304.74,313.42,43272.06812197,13562331.590787837
1608422400,2020-12-20 00:00:00,BCH/USD,317.88,368.20,310.49,349.93,54039.28560318,18909967.211120777
1608336000,2020-12-19 00:00:00,BCH/USD,314.38,325.64,309.68,318.70,7637.11870360,2433949.73083732
1608249600,2020-12-18 00:00:00,BCH/USD,311.00,322.85,305.00,313.50,9530.92776749,2987945.8551081154
1608163200,2020-12-17 00:00:00,BCH/USD,312.10,331.69,300.62,310.78,32631.57318238,10141240.313620055
1608076800,2020-12-16 00:00:00,BCH/USD,289.00,315.98,282.00,312.93,19304.19844424,6040862.819156023
1607990400,2020-12-15 00:00:00,BCH/USD,276.89,299.25,270.99,288.66,16415.49318277,4738496.262138388
1607904000,2020-12-14 00:00:00,BCH/USD,274.39,280.15,264.64,276.37,4362.80254328,1205747.7388862935
1607817600,2020-12-13 00:00:00,BCH/USD,268.37,282.21,265.51,275.42,6009.72124650,1655197.4257110301
1607731200,2020-12-12 00:00:00,BCH/USD,258.47,269.50,257.89,267.75,6505.87377399,1741947.7029858225
1607644800,2020-12-11 00:00:00,BCH/USD,266.52,266.52,256.10,259.03,12181.96200215,3155493.617416914
1607558400,2020-12-10 00:00:00,BCH/USD,268.99,269.35,261.41,265.10,6346.15320840,1682365.21554684
1607472000,2020-12-09 00:00:00,BCH/USD,267.36,271.18,254.82,269.07,10050.72897710,2704349.6458682967
1607385600,2020-12-08 00:00:00,BCH/USD,284.10,284.97,262.70,267.36,8350.74785851,2232655.947451234
1607299200,2020-12-07 00:00:00,BCH/USD,286.86,290.89,281.13,284.05,6523.48588711,1852996.1662335955
1607212800,2020-12-06 00:00:00,BCH/USD,290.28,293.36,279.53,286.91,6605.92460059,1895305.8271552771
1607126400,2020-12-05 00:00:00,BCH/USD,280.46,290.07,274.80,290.04,4206.24712995,1219979.917570698
1607040000,2020-12-04 00:00:00,BCH/USD,291.99,307.17,276.94,280.00,24774.09412688,6936746.355526401
1606953600,2020-12-03 00:00:00,BCH/USD,294.64,297.30,286.00,292.64,7813.01059324,2286399.4200057536
1606867200,2020-12-02 00:00:00,BCH/USD,287.33,297.67,280.99,294.51,12621.69176117,3717214.440582176
1606780800,2020-12-01 00:00:00,BCH/USD,318.09,321.05,273.36,288.07,33450.51010016,9636088.44455309
1606694400,2020-11-30 00:00:00,BCH/USD,286.37,322.08,280.56,317.51,29953.62293996,9510574.8196667
1606608000,2020-11-29 00:00:00,BCH/USD,276.55,288.93,272.45,285.89,10554.07606528,3017304.806302899
1606521600,2020-11-28 00:00:00,BCH/USD,266.30,285.07,261.00,276.77,13579.50218151,3758398.8187765228
1606435200,2020-11-27 00:00:00,BCH/USD,271.02,279.67,255.87,265.89,21055.08683104,5598337.037505225
1606348800,2020-11-26 00:00:00,BCH/USD,312.13,321.21,246.85,271.24,45342.50226176,12298700.313479781
1606262400,2020-11-25 00:00:00,BCH/USD,350.23,363.09,296.02,313.13,25631.40229495,8025961.000617693
1606176000,2020-11-24 00:00:00,BCH/USD,323.49,371.70,323.26,349.41,56506.46735988,19743924.760215674
1606089600,2020-11-23 00:00:00,BCH/USD,289.73,326.44,283.09,323.55,47100.97328016,15239519.904795768
1606003200,2020-11-22 00:00:00,BCH/USD,305.68,312.52,271.14,289.17,37851.35079456,10945475.109262915
1605916800,2020-11-21 00:00:00,BCH/USD,260.40,309.80,256.71,305.23,42147.51316279,12864685.442678392
1605830400,2020-11-20 00:00:00,BCH/USD,247.77,260.61,247.18,260.10,7564.38749075,1967497.1863440752
1605744000,2020-11-19 00:00:00,BCH/USD,248.54,254.90,242.71,247.46,3734.44632127,924126.0866614743
1605657600,2020-11-18 00:00:00,BCH/USD,256.47,259.00,243.00,247.76,6709.43347003,1662329.2365346327
1605571200,2020-11-17 00:00:00,BCH/USD,253.22,260.61,250.00,255.94,6865.84636952,1757244.7198149487
1605484800,2020-11-16 00:00:00,BCH/USD,252.99,260.03,242.88,252.11,4094.08167690,1032158.931563259
1605398400,2020-11-15 00:00:00,BCH/USD,254.65,270.00,241.20,244.91,3744.15105002,916980.0336603982
1605312000,2020-11-14 00:00:00,BCH/USD,259.27,262.26,253.09,255.00,2987.93814266,761924.2263783
1605225600,2020-11-13 00:00:00,BCH/USD,260.09,268.00,249.12,259.27,12939.07789542,3354714.725945543
1605139200,2020-11-12 00:00:00,BCH/USD,257.07,265.37,252.01,260.27,12289.03922945,3198468.240248951
1605052800,2020-11-11 00:00:00,BCH/USD,257.95,262.17,255.60,257.24,4486.61134783,1154135.9031157894
1604966400,2020-11-10 00:00:00,BCH/USD,264.10,265.60,255.26,257.63,3979.10399969,1025136.5634401346
1604880000,2020-11-09 00:00:00,BCH/USD,270.92,274.23,257.02,264.70,8974.91808843,2375660.818007421
1604793600,2020-11-08 00:00:00,BCH/USD,252.81,277.83,250.95,269.72,11961.18089241,3226169.7103008255
1604707200,2020-11-07 00:00:00,BCH/USD,258.20,277.19,245.00,253.80,15929.47896154,4042901.7604388525
1604620800,2020-11-06 00:00:00,BCH/USD,250.24,260.13,248.58,258.30,8563.15889472,2211863.942506176
1604534400,2020-11-05 00:00:00,BCH/USD,242.39,252.41,239.80,249.76,8798.55553259,2197527.2298196782
1604448000,2020-11-04 00:00:00,BCH/USD,244.38,244.74,230.90,241.24,8153.62500825,1966980.4969902302
